type,Date,Experimentname,Datetime,Number of hosts,Number of VMs,Total simulation time,Energy consumption,Number of VM migrations,SLA,ESLAV,PDM,ODF,Overall SLA violation,Average SLA violation,Number of host shutdowns,,,
Thesis,20110303,lr_mmt,10/12/2014 4:09,800,1052,86400,163.4772171,27859,0.004643868,0.759166623,0.079274657,5.857947786,0.147235522,9.558013672,5053,,,
Thesis,20110303,lr_mmtmc,10/12/2014 4:09,800,1052,86400,160.9138557,27424,0.004948444,0.796273162,0.081918301,6.040706004,0.150540465,9.537304378,4910,,,
Thesis,20110303,lr_rs,10/12/2014 4:10,800,1052,86400,150.4460176,23146,0.007044027,1.059745736,0.099277911,7.095260614,0.161415247,9.566455144,4059,,,
Thesis,20110303,lr_rsmc,10/12/2014 4:10,800,1052,86400,150.1212087,22705,0.007022403,1.054211611,0.098340111,7.140934517,0.173000358,9.463225014,4040,,,
Thesis,20110303,lr_mu,10/12/2014 4:11,800,1052,86400,175.6003031,30166,0.006127841,1.07605072,0.075171473,8.151816949,0.184133473,9.75025207,5632,,,
Thesis,20110303,lr_mumc,10/12/2014 4:12,800,1052,86400,175.6003031,30166,0.006127841,1.07605072,0.075171473,8.151816949,0.184133473,9.75025207,5632,,,
Thesis,20110303,lrr_fs,10/12/2014 4:13,800,1052,86400,146.3651122,21124,0.006799798,0.995253213,0.101173354,6.720937694,0.158061579,9.250340219,3736,,,
Thesis,20110303,lrr_mc,10/12/2014 4:14,800,1052,86400,151.0671928,23380,0.006832674,1.032192887,0.097528087,7.005852607,0.163325761,9.616816376,4078,,,
Thesis,20110303,lrr_mcmc,10/12/2014 4:14,800,1052,86400,150.3402054,23150,0.006751104,1.014962317,0.096318598,7.009138256,0.154103209,9.347079046,4020,,,
Thesis,20110303,lrr_mmt,10/12/2014 4:15,800,1052,86400,163.4772171,27859,0.004643868,0.759166623,0.079274657,5.857947786,0.147235522,9.558013672,5053,,,
Thesis,20110303,lrr_mmtmc,10/12/2014 4:16,800,1052,86400,160.9138557,27424,0.004948444,0.796273162,0.081918301,6.040706004,0.150540465,9.537304378,4910,,,
Thesis,20110303,lrr_rs,10/12/2014 4:16,800,1052,86400,149.1032871,22570,0.007098949,1.058476583,0.099280772,7.150376184,0.172129003,9.557469809,3970,,,
Thesis,20110303,lrr_rsmc,10/12/2014 4:17,800,1052,86400,149.7799567,22961,0.007106804,1.064456745,0.099293345,7.157381671,0.169976808,9.566444196,4024,,,
Thesis,20110303,lrr_mu,10/12/2014 4:18,800,1052,86400,175.6003031,30166,0.006127841,1.07605072,0.075171473,8.151816949,0.184133473,9.75025207,5632,,,
Thesis,20110303,lrr_mumc,10/12/2014 4:18,800,1052,86400,175.6003031,30166,0.006127841,1.07605072,0.075171473,8.151816949,0.184133473,9.75025207,5632,,,
Thesis,20110303,mad_fs,10/12/2014 4:20,800,1052,86400,175.7841526,23849,0.007379528,1.297204153,0.104844204,7.038565924,0.12655643,9.663546038,5455,,,
Thesis,20110303,mad_mc,10/12/2014 4:21,800,1052,86400,175.2929795,23861,0.007380468,1.293744146,0.105316143,7.007916656,0.128180632,9.70762999,5460,,,
Thesis,20110303,mad_mcmc,10/12/2014 4:22,800,1052,86400,177.4624702,24176,0.007235971,1.284113284,0.102531294,7.057329222,0.124854809,9.804502105,5471,,,
Thesis,20110303,mad_mmt,10/12/2014 4:22,800,1052,86400,185.7916733,26556,0.003341573,0.620836507,0.066185259,5.04881817,0.078913938,10.02651427,5828,,,
Thesis,20110303,mad_mmtmc,10/12/2014 4:23,800,1052,86400,185.3031654,26550,0.003821782,0.708188336,0.072207312,5.292791095,0.086300958,9.965822557,5765,,,
Thesis,20110303,mad_rs,10/12/2014 4:24,800,1052,86400,175.9778321,24045,0.007326286,1.28926397,0.103670061,7.066925785,0.12451815,9.613268005,5387,,,
Thesis,20110303,mad_rsmc,10/12/2014 4:25,800,1052,86400,177.2330055,24208,0.007626773,1.35171592,0.107584893,7.089074422,0.131729977,9.777471862,5507,,,
Thesis,20110303,mad_mu,10/12/2014 4:25,800,1052,86400,200.1363136,29611,0.004849156,0.970492291,0.064853826,7.47705531,0.07672824,10.34538753,6281,,,
Thesis,20110303,mad_mumc,10/12/2014 4:26,800,1052,86400,199.7786481,29365,0.004843419,0.967611737,0.064692368,7.486847926,0.075617786,10.26099276,6286,,,
Thesis,20110303,thr_fs,10/12/2014 4:28,800,1052,86400,184.5255982,24199,0.007059308,1.302623054,0.103327399,6.831980827,0.113041956,10.03221232,5622,,,
Thesis,20110303,thr_mc,10/12/2014 4:28,800,1052,86400,183.4761042,23967,0.00697036,1.278894424,0.101932142,6.838235191,0.111668921,10.05965652,5576,,,
Thesis,20110303,thr_mcmc,10/12/2014 4:29,800,1052,86400,182.4900522,24085,0.007125356,1.300306603,0.102789436,6.931992574,0.112195776,10.01558849,5512,,,
Thesis,20110303,thr_mmt,10/12/2014 4:29,800,1052,86400,192.6230702,26711,0.003175783,0.611728995,0.064636677,4.913282629,0.071001123,10.15113878,5885,,,
Thesis,20110303,thr_mmtmc,10/12/2014 4:29,800,1052,86400,191.2190387,26260,0.003610248,0.690348072,0.069895775,5.165187126,0.076226083,10.11049994,5845,,,
Thesis,20110303,thr_rs,10/12/2014 4:30,800,1052,86400,184.6990204,24361,0.007168101,1.32394118,0.10397779,6.893876788,0.113623644,10.00747386,5636,,,
Thesis,20110303,thr_rsmc,10/12/2014 4:30,800,1052,86400,185.3254691,24467,0.007130844,1.321526933,0.103260176,6.905705445,0.11316575,10.03949807,5587,,,
Thesis,20110303,thr_mu,10/12/2014 4:31,800,1052,86400,207.7942986,30653,0.004943589,1.0272497,0.066964944,7.382354346,0.071206692,10.16488778,6523,,,
Thesis,20110303,thr_mumc,10/12/2014 4:31,800,1052,86400,207.3200679,30608,0.004954788,1.027226941,0.067101539,7.38401509,0.07137273,10.16168273,6510,,,
Thesis,20110306,iqr_fs,10/12/2014 4:32,800,898,86400,134.505988,18405,0.007430636,0.999464992,0.106330094,6.988271526,0.121944552,9.797362877,4339,,,
Thesis,20110306,iqr_mc,10/12/2014 4:33,800,898,86400,135.0245413,18598,0.007428335,1.003007497,0.105983391,7.008961263,0.123141942,9.956157244,4356,,,
Thesis,20110306,iqr_mcmc,10/12/2014 4:33,800,898,86400,135.7056339,18960,0.007392691,1.003229753,0.105077609,7.035457502,0.121515464,9.96630563,4414,,,
Thesis,20110306,iqr_mmt,10/12/2014 4:34,800,898,86400,143.9724233,20742,0.003374043,0.485769096,0.066928926,5.041232314,0.076706273,10.15441333,4703,,,
Thesis,20110306,iqr_mmtmc,10/12/2014 4:34,800,898,86400,142.3087892,20783,0.003689111,0.524992896,0.070241077,5.252070427,0.079551564,10.10885644,4638,,,
Thesis,20110306,iqr_rs,10/12/2014 4:34,800,898,86400,134.8657144,18462,0.007290729,0.983269374,0.103936235,7.014617208,0.117779468,9.776320997,4321,,,
Thesis,20110306,iqr_rsmc,10/12/2014 4:35,800,898,86400,135.4866892,18821,0.007415686,1.004726787,0.104418937,7.101859604,0.119442987,9.857072565,4361,,,
Thesis,20110306,iqr_mu,10/12/2014 4:35,800,898,86400,152.8279083,23456,0.004916152,0.751325256,0.065162222,7.544482134,0.072270113,10.18050409,5023,,,
Thesis,20110306,iqr_mumc,10/12/2014 4:36,800,898,86400,152.8279083,23456,0.004916152,0.751325256,0.065162222,7.544482134,0.072270113,10.18050409,5023,,,
Thesis,20110306,lr_fs,10/12/2014 4:37,800,898,86400,111.2988825,15649,0.006524153,0.726130941,0.097372348,6.70021124,0.163428032,9.58134226,3054,,,
Thesis,20110306,lr_mc,10/12/2014 4:37,800,898,86400,114.0484574,17248,0.006740801,0.76877791,0.095366274,7.068327529,0.163135384,9.595996772,3250,,,
Thesis,20110306,lr_mcmc,10/12/2014 4:37,800,898,86400,114.2554155,17840,0.00682353,0.779625234,0.097140264,7.024409393,0.158222232,9.721574911,3280,,,
Thesis,20110306,lr_mmt,10/12/2014 4:38,800,898,86400,123.2841864,20878,0.004624547,0.570133555,0.078617205,5.882360409,0.140734101,9.618711501,4018,,,
Thesis,20110306,lr_mmtmc,10/12/2014 4:38,800,898,86400,122.0405223,20070,0.00442992,0.540629771,0.076546936,5.78719463,0.138380867,9.639965092,3894,,,
Thesis,20110306,lr_rs,10/12/2014 4:39,800,898,86400,112.424826,16317,0.006755719,0.75951048,0.095502535,7.073863048,0.161789642,9.670110396,3141,,,
Thesis,20110306,lr_rsmc,10/12/2014 4:39,800,898,86400,113.4098916,17200,0.007082842,0.803264335,0.098942615,7.158535188,0.177076979,9.973428636,3248,,,
Thesis,20110306,lr_mu,10/12/2014 4:39,800,898,86400,132.9139771,22343,0.00578114,0.76839427,0.07064701,8.18313433,0.193094189,10.00611322,4409,,,
Thesis,20110306,lr_mumc,10/12/2014 4:40,800,898,86400,132.9139771,22343,0.00578114,0.76839427,0.07064701,8.18313433,0.193094189,10.00611322,4409,,,
Thesis,20110306,lrr_fs,10/12/2014 4:41,800,898,86400,111.2988825,15649,0.006524153,0.726130941,0.097372348,6.70021124,0.163428032,9.58134226,3054,,,
Thesis,20110306,lrr_mc,10/12/2014 4:41,800,898,86400,114.0484574,17248,0.006740801,0.76877791,0.095366274,7.068327529,0.163135384,9.595996772,3250,,,
Thesis,20110306,lrr_mcmc,10/12/2014 4:41,800,898,86400,114.2554155,17840,0.00682353,0.779625234,0.097140264,7.024409393,0.158222232,9.721574911,3280,,,
Thesis,20110306,lrr_mmt,10/12/2014 4:42,800,898,86400,123.2841864,20878,0.004624547,0.570133555,0.078617205,5.882360409,0.140734101,9.618711501,4018,,,
Thesis,20110306,lrr_mmtmc,10/12/2014 4:42,800,898,86400,122.0405223,20070,0.00442992,0.540629771,0.076546936,5.78719463,0.138380867,9.639965092,3894,,,
Thesis,20110306,lrr_rs,10/12/2014 4:43,800,898,86400,113.5451323,17128,0.007160737,0.813066845,0.100447189,7.128857679,0.178129619,9.765816916,3259,,,
Thesis,20110306,lrr_rsmc,10/12/2014 4:43,800,898,86400,113.4908474,16847,0.006952213,0.789012584,0.097098076,7.159990814,0.166853274,9.783764327,3226,,,
Thesis,20110306,lrr_mu,10/12/2014 4:44,800,898,86400,132.9139771,22343,0.00578114,0.76839427,0.07064701,8.18313433,0.193094189,10.00611322,4409,,,
Thesis,20110306,lrr_mumc,10/12/2014 4:44,800,898,86400,132.9139771,22343,0.00578114,0.76839427,0.07064701,8.18313433,0.193094189,10.00611322,4409,,,
Thesis,20110306,mad_fs,10/12/2014 4:45,800,898,86400,133.4716138,18993,0.008000284,1.067810813,0.112576629,7.106522918,0.136205605,9.697126191,4405,,,
Thesis,20110306,mad_mc,10/12/2014 4:46,800,898,86400,132.0571948,18820,0.007860311,1.038010563,0.110290733,7.126900261,0.13583188,10.00247796,4297,,,
Thesis,20110306,mad_mcmc,10/12/2014 4:46,800,898,86400,132.5519537,18873,0.007732253,1.024925222,0.108145075,7.149889026,0.133960079,9.934478437,4336,,,
Thesis,20110306,mad_mmt,10/12/2014 4:47,800,898,86400,140.0713284,20682,0.003743126,0.524304682,0.072032956,5.196408112,0.087115508,10.28930041,4593,,,
Thesis,20110306,mad_mmtmc,10/12/2014 4:47,800,898,86400,139.8273012,20686,0.003693625,0.516469667,0.070994465,5.202694868,0.085407098,10.15991953,4581,,,
Thesis,20110306,mad_rs,10/12/2014 4:48,800,898,86400,132.4836894,18225,0.007753892,1.027264285,0.108791361,7.127305352,0.134847956,10.00186306,4324,,,
Thesis,20110306,mad_rsmc,10/12/2014 4:48,800,898,86400,132.9574977,19216,0.008051285,1.0704787,0.111807941,7.20099561,0.136581601,10.00418026,4350,,,
Thesis,20110306,mad_mu,10/12/2014 4:49,800,898,86400,151.6027193,23644,0.005210044,0.789856899,0.068907631,7.560910664,0.08072881,10.22328484,5073,,,
Thesis,20110306,mad_mumc,10/12/2014 4:49,800,898,86400,150.1594033,23598,0.005329116,0.800216915,0.070277439,7.58296874,0.082509245,10.23070567,5012,,,
Thesis,20110306,thr_fs,10/12/2014 4:50,800,898,86400,139.3346398,19307,0.007716015,1.075108102,0.110697488,6.970360972,0.122029842,10.21233171,4484,,,
Thesis,20110306,thr_mc,10/12/2014 4:51,800,898,86400,138.0970521,18823,0.007314801,1.010152517,0.105676105,6.921906732,0.116019618,10.09831253,4405,,,
Thesis,20110306,thr_mcmc,10/12/2014 4:51,800,898,86400,138.8147554,18772,0.007108012,0.986697002,0.102325574,6.946467133,0.111092118,10.14099339,4384,,,
Thesis,20110306,thr_mmt,10/12/2014 4:51,800,898,86400,144.741164,20908,0.00359599,0.520487826,0.070046598,5.13371161,0.076740968,10.12548326,4682,,,
Thesis,20110306,thr_mmtmc,10/12/2014 4:52,800,898,86400,145.9716128,21031,0.003659215,0.534141562,0.070101709,5.219866041,0.076121488,10.14954614,4684,,,
Thesis,20110306,thr_rs,10/12/2014 4:52,800,898,86400,137.5144475,18655,0.007573965,1.041529592,0.108638178,6.971734082,0.119571528,10.07095168,4370,,,
Thesis,20110306,thr_rsmc,10/12/2014 4:52,800,898,86400,139.6235236,18907,0.007239071,1.010744618,0.104287845,6.941433198,0.113345875,10.1526968,4421,,,
Thesis,20110306,thr_mu,10/12/2014 4:52,800,898,86400,156.6028387,23599,0.00497344,0.778854765,0.066881535,7.436192403,0.071168069,10.22850831,5115,,,
Thesis,20110306,thr_mumc,10/12/2014 4:53,800,898,86400,156.2846784,23571,0.004977359,0.777884943,0.066740511,7.457777668,0.071647884,10.33107059,5126,,,
Thesis,20110309,iqr_fs,10/12/2014 10:34,800,1061,86400,159.5507382,21520,0.008026554,1.280642594,0.113982953,7.041889737,0.127692845,10.17310546,4948,,,
Thesis,20110309,iqr_mc,10/12/2014 10:35,800,1061,86400,157.6598181,21004,0.007647198,1.2056559,0.108990554,7.016386335,0.12430883,10.13735639,4846,,,
Thesis,20110309,iqr_mcmc,10/12/2014 10:35,800,1061,86400,158.0728397,20951,0.007282361,1.151143435,0.103712314,7.021693422,0.116214878,10.09887577,4852,,,
Thesis,20110309,iqr_mmt,10/12/2014 10:36,800,1061,86400,166.7471148,23772,0.00388491,0.647797516,0.073988867,5.250668211,0.082623349,10.22387402,5222,,,
Thesis,20110309,iqr_mmtmc,10/12/2014 10:36,800,1061,86400,166.5334746,23781,0.004215896,0.702087729,0.078419715,5.376065815,0.088604722,10.17403525,5292,,,
Thesis,20110309,iqr_rs,10/12/2014 10:37,800,1061,86400,159.4117756,21419,0.00778407,1.240872486,0.110518473,7.043230141,0.123407644,10.19376265,4948,,,
Thesis,20110309,iqr_rsmc,10/12/2014 10:37,800,1061,86400,158.5567495,21183,0.007439517,1.179585643,0.105639566,7.04235861,0.119491361,10.15971161,4843,,,
Thesis,20110309,iqr_mu,10/12/2014 10:38,800,1061,86400,179.5228908,26885,0.005386648,0.967026544,0.07177799,7.504595219,0.078755239,10.29738401,5761,,,
Thesis,20110309,iqr_mumc,10/12/2014 10:39,800,1061,86400,179.5228908,26885,0.005386648,0.967026544,0.07177799,7.504595219,0.078755239,10.29738401,5761,,,
Thesis,20110309,lr_fs,10/12/2014 10:40,800,1061,86400,127.6405738,18847,0.008638739,1.102653561,0.113840031,7.588489398,0.248485531,10.28759333,3538,,,
Thesis,20110309,lr_mc,10/12/2014 10:40,800,1061,86400,130.2498809,20580,0.008864957,1.154659637,0.111076519,7.980946293,0.249872407,10.07698031,3772,,,
Thesis,20110309,lr_mcmc,10/12/2014 10:41,800,1061,86400,130.263948,20044,0.008427565,1.097807872,0.108370935,7.776591453,0.228730771,10.22137697,3722,,,
Thesis,20110309,lr_mmt,10/12/2014 10:41,800,1061,86400,142.0936917,24959,0.006015961,0.854830164,0.091843198,6.550252522,0.222279865,10.16046061,4563,,,
Thesis,20110309,lr_mmtmc,10/12/2014 10:42,800,1061,86400,142.9016573,24498,0.005826513,0.832618321,0.089512859,6.509134813,0.206707497,9.919840783,4637,,,
Thesis,20110309,lr_rs,10/12/2014 10:42,800,1061,86400,127.7090242,19201,0.008469562,1.081639556,0.107364654,7.888594774,0.250540012,10.2730143,3533,,,
Thesis,20110309,lr_rsmc,10/12/2014 10:43,800,1061,86400,128.399565,19429,0.008535309,1.09592995,0.107825331,7.915866151,0.249814861,10.10418611,3592,,,
Thesis,20110309,lr_mu,10/12/2014 10:43,800,1061,86400,152.9290156,26122,0.007065726,1.080554595,0.079189997,8.922498717,0.293477424,10.27336721,4945,,,
Thesis,20110309,lr_mumc,10/12/2014 10:44,800,1061,86400,152.9290156,26122,0.007065726,1.080554595,0.079189997,8.922498717,0.293477424,10.27336721,4945,,,
Thesis,20110309,lrr_fs,10/12/2014 10:45,800,1061,86400,127.6405738,18847,0.008638739,1.102653561,0.113840031,7.588489398,0.248485531,10.28759333,3538,,,
Thesis,20110309,lrr_mc,10/12/2014 10:46,800,1061,86400,130.2498809,20580,0.008864957,1.154659637,0.111076519,7.980946293,0.249872407,10.07698031,3772,,,
Thesis,20110309,lrr_mcmc,10/12/2014 10:46,800,1061,86400,130.263948,20044,0.008427565,1.097807872,0.108370935,7.776591453,0.228730771,10.22137697,3722,,,
Thesis,20110309,lrr_mmt,10/12/2014 10:47,800,1061,86400,142.0936917,24959,0.006015961,0.854830164,0.091843198,6.550252522,0.222279865,10.16046061,4563,,,
Thesis,20110309,lrr_mmtmc,10/12/2014 10:48,800,1061,86400,142.9016573,24498,0.005826513,0.832618321,0.089512859,6.509134813,0.206707497,9.919840783,4637,,,
Thesis,20110309,lrr_rs,10/12/2014 10:48,800,1061,86400,129.7837331,20209,0.008840485,1.147351137,0.111145378,7.95398342,0.236834844,10.076336,3723,,,
Thesis,20110309,lrr_rsmc,10/12/2014 10:48,800,1061,86400,129.2995958,20231,0.00842944,1.089923233,0.107916704,7.811061754,0.236354752,10.04580781,3660,,,
Thesis,20110309,lrr_mu,10/12/2014 10:49,800,1061,86400,152.9290156,26122,0.007065726,1.080554595,0.079189997,8.922498717,0.293477424,10.27336721,4945,,,
Thesis,20110309,lrr_mumc,10/12/2014 10:50,800,1061,86400,152.9290156,26122,0.007065726,1.080554595,0.079189997,8.922498717,0.293477424,10.27336721,4945,,,
Thesis,20110309,mad_fs,10/12/2014 10:51,800,1061,86400,154.4041692,21015,0.008084711,1.248313116,0.113415253,7.128416151,0.136106743,10.43599252,4787,,,
Thesis,20110309,mad_mc,10/12/2014 10:52,800,1061,86400,152.7507458,20590,0.007754696,1.1845356,0.109054687,7.110832403,0.13075565,10.32718177,4734,,,
Thesis,20110309,mad_mcmc,10/12/2014 10:53,800,1061,86400,155.2569371,20947,0.007819249,1.213992711,0.10981555,7.120348043,0.132947314,10.22957267,4892,,,
Thesis,20110309,mad_mmt,10/12/2014 10:53,800,1061,86400,163.0053745,23476,0.003909863,0.637328678,0.074499621,5.248164921,0.087992936,10.42945513,5178,,,
Thesis,20110309,mad_mmtmc,10/12/2014 10:54,800,1061,86400,162.0802197,23092,0.004051238,0.65662548,0.07564897,5.355310988,0.090504669,10.33517444,5077,,,
Thesis,20110309,mad_rs,10/12/2014 10:54,800,1061,86400,155.1479473,20778,0.008061614,1.250742848,0.113012417,7.133387719,0.137622791,10.52117541,4796,,,
Thesis,20110309,mad_rsmc,10/12/2014 10:55,800,1061,86400,154.7525006,20685,0.007680989,1.188652195,0.107646114,7.135407276,0.128778464,10.29747669,4780,,,
Thesis,20110309,mad_mu,10/12/2014 10:56,800,1061,86400,177.166518,26616,0.005606903,0.993355456,0.074219645,7.554472711,0.084999783,10.26714602,5680,,,
Thesis,20110309,mad_mumc,10/12/2014 10:57,800,1061,86400,177.166518,26616,0.005606903,0.993355456,0.074219645,7.554472711,0.084999783,10.26714602,5680,,,
Thesis,20110309,thr_fs,10/12/2014 10:58,800,1061,86400,159.0103101,21378,0.007937531,1.262149296,0.112292016,7.068651451,0.124821393,10.23078355,4922,,,
Thesis,20110309,thr_mc,10/12/2014 10:58,800,1061,86400,158.7835976,21210,0.007814912,1.240879876,0.110282497,7.086267013,0.125752539,10.30703718,4878,,,
Thesis,20110309,thr_mcmc,10/12/2014 10:58,800,1061,86400,159.7860909,21293,0.007489413,1.196704081,0.106539375,7.029713986,0.120548616,10.34372762,4944,,,
Thesis,20110309,thr_mmt,10/12/2014 10:59,800,1061,86400,165.2741144,23475,0.004051565,0.669618898,0.077012769,5.260900915,0.087010436,10.39377174,5139,,,
Thesis,20110309,thr_mmtmc,10/12/2014 10:59,800,1061,86400,166.5394518,23829,0.004407516,0.73402525,0.081327706,5.419451688,0.091565765,10.39534694,5273,,,
Thesis,20110309,thr_rs,10/12/2014 10:59,800,1061,86400,158.3977218,20984,0.007875891,1.247523113,0.11224216,7.016873635,0.126634233,10.22833879,4874,,,
Thesis,20110309,thr_rsmc,10/12/2014 11:00,800,1061,86400,160.0693242,21350,0.007607648,1.217751097,0.108178481,7.032496747,0.121984655,10.28517091,4895,,,
Thesis,20110309,thr_mu,10/12/2014 11:00,800,1061,86400,181.2574994,27266,0.005811379,1.053355965,0.077164464,7.531159263,0.084757825,10.35146256,5781,,,
Thesis,20110309,thr_mumc,10/12/2014 11:01,800,1061,86400,181.2574994,27266,0.005811379,1.053355965,0.077164464,7.531159263,0.084757825,10.35146256,5781,,,
Thesis,20110322,iqr_fs,10/12/2014 11:24,800,1516,86400,194.0894178,26183,0.006178218,1.199126713,0.088456598,6.984462491,0.099371127,9.986799694,5708,,,
Thesis,20110322,iqr_mc,10/12/2014 11:25,800,1516,86400,193.413702,26192,0.006141718,1.18789242,0.087973589,6.981320291,0.099574344,9.935324177,5671,,,
Thesis,20110322,iqr_mcmc,10/12/2014 11:26,800,1516,86400,192.8260473,25706,0.005993501,1.155703156,0.085933006,6.974620768,0.098415058,10.01567649,5614,,,
Thesis,20110322,iqr_mmt,10/12/2014 11:27,800,1516,86400,200.8652646,29058,0.002939218,0.590386864,0.058571318,5.018187069,0.066014477,10.04991725,6067,,,
Thesis,20110322,iqr_mmtmc,10/12/2014 11:28,800,1516,86400,201.6883348,28929,0.003013495,0.607786811,0.06015746,5.009345636,0.067574395,10.05946854,6081,,,
Thesis,20110322,iqr_rs,10/12/2014 11:28,800,1516,86400,192.2212876,25847,0.00607207,1.167181134,0.086689389,7.00439835,0.098023798,9.973966777,5580,,,
Thesis,20110322,iqr_rsmc,10/12/2014 11:29,800,1516,86400,193.4154827,25945,0.005988983,1.158362095,0.084888443,7.055122085,0.094835179,9.813334727,5625,,,
Thesis,20110322,iqr_mu,10/12/2014 11:30,800,1516,86400,218.5645755,32851,0.004594701,1.004238786,0.060423974,7.604101971,0.065370678,10.14950426,6733,,,
Thesis,20110322,iqr_mumc,10/12/2014 11:32,800,1516,86400,218.5645755,32851,0.004594701,1.004238786,0.060423974,7.604101971,0.065370678,10.14950426,6733,,,
Thesis,20110322,lr_fs,10/12/2014 11:33,800,1516,86400,158.0072547,25987,0.007288623,1.151655261,0.099489144,7.326048214,0.201083814,9.562169545,4241,,,
Thesis,20110322,lr_mc,10/12/2014 11:34,800,1516,86400,162.5997582,27553,0.00722896,1.175427182,0.094405928,7.657315981,0.202060462,9.676935094,4491,,,
Thesis,20110322,lr_mcmc,10/12/2014 11:35,800,1516,86400,161.6795937,27299,0.007208485,1.165465007,0.094277839,7.646002067,0.198754025,9.628007872,4459,,,
Thesis,20110322,lr_mmt,10/12/2014 11:36,800,1516,86400,177.477905,32038,0.004643765,0.824165738,0.075774179,6.128427087,0.165182771,9.789399981,5506,,,
Thesis,20110322,lr_mmtmc,10/12/2014 11:37,800,1516,86400,177.423262,32888,0.0049349,0.875566032,0.077861293,6.338065634,0.184047079,9.817200641,5549,,,
Thesis,20110322,lr_rs,10/12/2014 11:38,800,1516,86400,160.8950997,26978,0.007577088,1.21911639,0.096381375,7.861569084,0.206906486,9.682336916,4394,,,
Thesis,20110322,lr_rsmc,10/12/2014 11:39,800,1516,86400,160.0102815,26623,0.007470407,1.19534185,0.094762996,7.88325277,0.202427236,9.744527181,4364,,,
Thesis,20110322,lr_mu,10/12/2014 11:40,800,1516,86400,187.2497903,32334,0.005928886,1.110182742,0.066755365,8.881513086,0.26448684,9.919374772,5734,,,
Thesis,20110322,lr_mumc,10/12/2014 11:41,800,1516,86400,186.9319934,32434,0.005935249,1.109487906,0.06690278,8.871453366,0.258678121,9.876317612,5735,,,
Thesis,20110322,lrr_fs,10/12/2014 11:43,800,1516,86400,158.0072547,25987,0.007288623,1.151655261,0.099489144,7.326048214,0.201083814,9.562169545,4241,,,
Thesis,20110322,lrr_mc,10/12/2014 11:43,800,1516,86400,162.5997582,27553,0.00722896,1.175427182,0.094405928,7.657315981,0.202060462,9.676935094,4491,,,
Thesis,20110322,lrr_mcmc,10/12/2014 11:44,800,1516,86400,161.6795937,27299,0.007208485,1.165465007,0.094277839,7.646002067,0.198754025,9.628007872,4459,,,
Thesis,20110322,lrr_mmt,10/12/2014 11:45,800,1516,86400,177.477905,32038,0.004643765,0.824165738,0.075774179,6.128427087,0.165182771,9.789399981,5506,,,
Thesis,20110322,lrr_mmtmc,10/12/2014 11:47,800,1516,86400,177.423262,32888,0.0049349,0.875566032,0.077861293,6.338065634,0.184047079,9.817200641,5549,,,
Thesis,20110322,lrr_rs,10/12/2014 11:47,800,1516,86400,161.1519492,27416,0.007757775,1.250180487,0.097723954,7.938457486,0.212907436,9.687913801,4430,,,
